Date,Value,Anomaly
191711,43.52,1.83
191712,29.64,-3.04
191801,23.88,-6.24
191802,33.82,0
191803,45.73,4.23
191804,49.01,-2.03
191805,60.78,0.59
191806,71.11,2.64
191807,72.41,-1.18
191808,72.48,0.4
191809,61.9,-2.94
191810,56.16,2.06
191811,40.51,-1.18
191812,34.45,1.77
191901,31.82,1.7
191902,32.25,-1.57
191903,40.89,-0.61
191904,51.33,0.29
191905,60.01,-0.18
191906,69.28,0.81
191907,74.34,0.75
191908,72.25,0.17
191909,65.62,0.78
191910,52.59,-1.51
191911,39.31,-2.38
191912,28.78,-3.9
192001,29.23,-0.89
192002,33.69,-0.13
192003,40.28,-1.22
192004,46.78,-4.26
192005,59.29,-0.9
192006,67.35,-1.12
192007,72.68,-0.91
192008,70.61,-1.47
192009,65.43,0.59
192010,54.61,0.51
192011,39.7,-1.99
192012,33.13,0.45
192101,34.36,4.24
192102,36.9,3.08
192103,46.63,5.13
192104,50.99,-0.05
192105,60.1,-0.09
192106,70.34,1.87
192107,74.64,1.05
192108,72,-0.08
192109,66.52,1.68
192110,55.33,1.23
192111,42.57,0.88
192112,35.08,2.4
192201,26.8,-3.32
192202,31.95,-1.87
192203,40.42,-1.08
192204,50.31,-0.73
192205,61.16,0.97
192206,70.12,1.65
192207,72.99,-0.6
192208,72.79,0.71
192209,67.26,2.42
192210,55,0.9
192211,41.86,0.17
192212,33.55,0.87
192301,34.59,4.47
192302,29.57,-4.25
192303,38.28,-3.22
192304,49.89,-1.15
192305,59.5,-0.69
192306,68.02,-0.45
192307,73.74,0.15
192308,71.08,-1
192309,65.05,0.21
192310,51.22,-2.88
192311,42.58,0.89
192312,35.98,3.3
192401,26.26,-3.86
192402,35.19,1.37
192403,37.18,-4.32
192404,50.25,-0.79
192405,57.88,-2.31
192406,68.58,0.11
192407,71.85,-1.74
192408,72.03,-0.05
192409,62.73,-2.11
192410,54.95,0.85
192411,42.4,0.71
192412,27.59,-5.09
192501,29.1,-1.02
192502,38.28,4.46
192503,44.24,2.74
192504,54.7,3.66
192505,59.99,-0.2
192506,69.82,1.35
192507,74.12,0.53
192508,71.38,-0.7
192509,66.65,1.81
192510,48.92,-5.18
192511,40.41,-1.28
192512,32.5,-0.18
192601,30.33,0.21
192602,37.67,3.85
192603,39.65,-1.85
192604,50.04,-1
192605,61,0.81
192606,68.18,-0.29
192607,73.33,-0.26
192608,72.3,0.22
192609,64.09,-0.75
192610,54.93,0.83
192611,40.46,-1.23
192612,31.33,-1.35
192701,31.55,1.43
192702,37.9,4.08
192703,42.26,0.76
192704,51.58,0.54
192705,59.76,-0.43
192706,67.19,-1.28
192707,72.66,-0.93
192708,69.33,-2.75
192709,64.96,0.12
192710,55.89,1.79
192711,44.35,2.66
192712,28.22,-4.46
192801,31.98,1.86
192802,34.34,0.52
192803,43.12,1.62
192804,48.06,-2.98
192805,61.5,1.31
192806,65.89,-2.58
192807,73.36,-0.23
192808,71.8,-0.28
192809,63.25,-1.59
192810,55.06,0.96
192811,41.56,-0.13
192812,32.94,0.26
192901,26.33,-3.79
192902,26.92,-6.9
192903,43.56,2.06
192904,51.17,0.13
192905,58.84,-1.35
192906,67.48,-0.99
192907,73.58,-0.01
192908,72.59,0.51
192909,63.39,-1.45
192910,53.91,-0.19
192911,38.41,-3.28
192912,33.96,1.28
193001,23.56,-6.56
193002,40.08,6.26
193003,40.41,-1.09
193004,54.39,3.35
193005,59.22,-0.97
193006,68.4,-0.07
193007,75,1.41
193008,72.88,0.8
193009,65.73,0.89
193010,51.69,-2.41
193011,41.09,-0.6
193012,31.17,-1.51
193101,32.99,2.87
193102,37.94,4.12
193103,39.4,-2.1
193104,51.04,0
193105,59.41,-0.78
193106,70.68,2.21
193107,75.78,2.19
193108,71.94,-0.14
193109,68.11,3.27
193110,56.55,2.45
193111,43.38,1.69
193112,35.06,2.38
193201,31.55,1.43
193202,36.7,2.88
193203,37.36,-4.14
193204,51.58,0.54
193205,60.49,0.3
193206,69.22,0.75
193207,74.07,0.48
193208,72.54,0.46
193209,64.67,-0.17
