Date,Value,Anomaly
199607,73.62,0.03
199608,72.41,0.33
199609,63.45,-1.39
199610,53.64,-0.46
199611,39.63,-2.06
199612,33.91,1.23
199701,29.97,-0.15
199702,36.05,2.23
199703,44.65,3.15
199704,47.91,-3.13
199705,59.38,-0.81
199706,68.29,-0.18
199707,73.17,-0.42
199708,71.73,-0.35
199709,66.4,1.56
199710,53.91,-0.19
199711,40.86,-0.83
199712,34,1.32
199801,34.99,4.87
199802,38.71,4.89
199803,41.32,-0.18
199804,51.06,0.02
199805,62.46,2.27
199806,68.11,-0.36
199807,75.45,1.86
199808,73.99,1.91
199809,68.95,4.11
199810,55.11,1.01
199811,44.89,3.2
199812,35.55,2.87
199901,33.78,3.66
199902,39.49,5.67
199903,42.78,1.28
199904,51.55,0.51
199905,60.04,-0.15
199906,68.29,-0.18
199907,74.28,0.69
199908,72.88,0.8
199909,64.33,-0.51
199910,54.75,0.65
199911,48.11,6.42
199912,36.1,3.42
200001,33.57,3.45
200002,39.78,5.96
200003,46.02,4.52
200004,52.57,1.53
200005,63.12,2.93
200006,69.01,0.54
200007,73.85,0.26
200008,74.01,1.93
200009,65.55,0.71
200010,55.08,0.98
200011,38.01,-3.68
200012,28.44,-4.24
200101,31.37,1.25
200102,33.96,0.14
200103,41.47,-0.03
200104,53.08,2.04
200105,62.8,2.61
200106,69.21,0.74
200107,74.44,0.85
200108,74.28,2.2
200109,65.68,0.84
200110,54.36,0.26
200111,47.39,5.7
200112,36.12,3.44
200201,34.48,4.36
200202,36.39,2.57
200203,39.54,-1.96
200204,53.49,2.45
200205,59.27,-0.92
200206,70.84,2.37
200207,75.83,2.24
200208,72.82,0.74
200209,66.83,1.99
200210,51.82,-2.28
200211,41.95,0.26
200212,35.08,2.4
200301,32.81,2.69
200302,32.79,-1.03
200303,43.29,1.79
200304,51.89,0.85
200305,60.96,0.77
200306,68.02,-0.45
200307,75.43,1.84
200308,74.62,2.54
200309,64.94,0.1
200310,56.53,2.43
200311,42.35,0.66
200312,35.29,2.61
200401,30.36,0.24
200402,33.57,-0.25
200403,47.39,5.89
200404,52.66,1.62
200405,61.9,1.71
200406,68.05,-0.42
200407,72.88,-0.71
200408,70.14,-1.94
200409,65.64,0.8
200410,55.35,1.25
200411,43.99,2.3
200412,35.06,2.38
200501,33.39,3.27
200502,37.94,4.12
200503,42.31,0.81
200504,52.25,1.21
200505,59.54,-0.65
200506,69.19,0.72
200507,75.29,1.7
200508,73.18,1.1
200509,67.35,2.51
200510,55.36,1.26
200511,45,3.31
200512,32.7,0.02
200601,38.93,8.81
200602,34.83,1.01
200603,42.6,1.1
200604,55.24,4.2
200605,62.26,2.07
200606,70.74,2.27
200607,76.39,2.8
200608,73.38,1.3
200609,63.28,-1.56
200610,52.57,-1.53
200611,44.08,2.39
200612,36.57,3.89
200701,31.35,1.23
200702,32.41,-1.41
200703,47.64,6.14
200704,50.54,-0.5
200705,62.31,2.12
200706,69.85,1.38
200707,74.68,1.09
200708,74.62,2.54
200709,66.42,1.58
200710,56.66,2.56
200711,43.99,2.3
200712,33.22,0.54
200801,30.27,0.15
200802,34.7,0.88
200803,41.86,0.36
200804,50.38,-0.66
200805,59.34,-0.85
200806,69.58,1.11
200807,74.05,0.46
200808,72.25,0.17
200809,65.19,0.35
200810,53.98,-0.12
200811,43.92,2.23
200812,31.87,-0.81
200901,31.05,0.93
200902,36.77,2.95
200903,42.87,1.37
200904,50.9,-0.14
200905,61.63,1.44
200906,68.5,0.03
200907,72.61,-0.98
200908,71.87,-0.21
200909,66.36,1.52
200910,50.49,-3.61
200911,45.82,4.13
200912,29.64,-3.04
201001,30.67,0.55
201002,31.8,-2.02
201003,43.56,2.06
201004,53.24,2.2
201005,59.86,-0.33
201006,70.47,2
201007,74.7,1.11
201008,74.03,1.95
201009,66.47,1.63
201010,56.14,2.04
201011,42.31,0.62
201012,32.47,-0.21
201101,29.71,-0.41
201102,33.04,-0.78
201103,43.07,1.57
201104,51.96,0.92
201105,59.11,-1.08
201106,69.8,1.33
201107,76.12,2.53
201108,74.98,2.9
201109,66.07,1.23
201110,55.08,0.98
201111,43.74,2.05
201112,35.4,2.72
201201,36.12,6
201202,37.51,3.69
201203,50.4,8.9
201204,54.68,3.64
201205,63.43,3.24
201206,70.52,2.05
201207,76.73,3.14
201208,73.78,1.7
201209,66.29,1.45
201210,53.89,-0.21
201211,44.01,2.32
201212,35.92,3.24
201301,32.25,2.13
201302,34.77,0.95
201303,40.89,-0.61
201304,49.66,-1.38
201305,60.84,0.65
201306,70.38,1.91
201307,74.19,0.6
201308,72.97,0.89
201309,66.94,2.1
201310,53.42,-0.68
201311,41.61,-0.08
201312,31.06,-1.62
201401,30.56,0.44
201402,32.13,-1.69
201403,40.51,-0.99
201404,51.69,0.65
201405,61.27,1.08
201406,69.57,1.1
201407,73.27,-0.32
201408,72.21,0.13
201409,66.16,1.32
201410,56.91,2.81
201411,39.25,-2.44
201412,36.81,4.13
201501,33.08,2.96
201502,32.99,-0.83
201503,45.39,3.89
201504,53.22,2.18
201505,60.82,0.63
201506,71.33,2.86
201507,73.89,0.3
201508,72.91,0.83
201509,68.5,3.66
201510,57.24,3.14
201511,44.58,2.89
201512,38.64,5.96
201601,32.22,2.1
201602,39.47,5.65
201603,47.48,5.98
201604,53.19,2.15
201605,60.31,0.12
201606,71.74,3.27
201607,75.2,1.61
201608,73.51,1.43
201609,67.1,2.26
201610,57.7,3.6
201611,47.95,6.26
201612,32.95,0.27
201701,33.57,3.45
201702,41.16,7.34
201703,46.13,4.63
201704,53.78,2.74
201705,60.55,0.36
201706,70.32,1.85
201707,75.69,2.1
201708,72,-0.08
201709,66.25,1.41
201710,55.69,1.59
201711,45.03,3.34
201712,34.29,1.61
201801,32.16,2.04
201802,35.51,1.69
201803,42.73,1.23
201804,49.01,-2.03
201805,65.5,5.31
201806,71.53,3.06
201807,75.43,1.84
201808,73.49,1.41
201809,67.51,2.67
201810,53.71,-0.39
201811,40.01,-1.68
201812,35.51,2.83
201901,32.56,2.44
201902,31.84,-1.98
201903,40.28,-1.22
201904,52.83,1.79
201905,59.49,-0.7
201906,68.7,0.23
201907,74.59,1
201908,73.72,1.64
201909,68.41,3.57
201910,52.03,-2.07
201911,41.09,-0.6
201912,36.43,3.75
202001,35.53,5.41
202002,36.16,2.34
202003,46.08,4.58
202004,50.86,-0.18
202005,60.89,0.7
202006,70.27,1.8
202007,75.63,2.04
202008,74.68,2.6
202009,65.89,1.05
202010,54.28,0.18
202011,46.31,4.62
202012,35.71,3.03
202101,34.59,4.47
202102,30.61,-3.21
202103,45.52,4.02
202104,51.85,0.81
202105,60.33,0.14
202106,72.57,4.1
202107,75.4,1.81
202108,73.96,1.88
202109,67.78,2.94
202110,56.95,2.85
202111,45.07,3.38
202112,39.34,6.66
202201,31.17,1.05
202202,33.66,-0.16
202203,44.08,2.58
202204,50.67,-0.37
202205,61.92,1.73
202206,70.79,2.32
202207,76.39,2.8
202208,74.59,2.51
202209,68.02,3.18
202210,55.18,1.08
202211,40.96,-0.73
202212,33.12,0.44
202301,35.11,4.99
202302,36.39,2.57
202303,40.57,-0.93
202304,51.31,0.27
202305,62.38,2.19
202306,69.01,0.54
202307,75.65,2.06
202308,74.35,2.27
202309,67.75,2.91
202310,56.05,1.95
202311,44.28,2.59
202312,39.81,7.13
202401,31.93,1.81
202402,40.86,7.04
202403,45,3.5
202404,53.67,2.63
202405,62.29,2.1
202406,71.82,3.35
202407,75.7,2.11
